CO_PROCEDIMENTO,CO_PROCEDIMENTO_SIA_SIH,TP_PROCEDIMENTO
0202050246,11142111,A
0202050246,17006066,H
0202050254,11061316,A
0202050254,17015022,H
0202050262,11141182,A
0202050270,11141190,A
0202050289,11142120,A
0202050297,11141239,A
0202050300,11143037,A
0202050300,17002087,H
0202050300,17004063,H
0202050319,11141301,A
0202050327,11141263,A
0202060012,11991151,A
0202060020,11991267,A
0202060039,11992131,A
0202060047,11055014,A
0202060047,11992115,A
0202060055,11051019,A
0202060055,17004055,H
0202060063,11051027,A
0202060071,11052074,A
0202060080,11056010,A
0202060080,11992018,A
0202060098,11017104,H
0202060098,11054018,A
0202060098,11991011,A
0202060101,11053020,A
0202060110,11055022,A
0202060110,11991020,A
0202060110,17002052,H
0202060128,11056029,A
0202060128,11992042,A
0202060136,11052015,A
0202060136,11991046,A
0202060144,11054026,A
0202060144,11991062,A
0202060152,11016108,H
0202060152,11054042,A
0202060152,11991070,A
0202060152,17008050,H
0202060160,11018100,H
0202060160,11053046,A
0202060160,11991119,A
0202060160,17009057,H
0202060179,11006102,H
0202060179,11054050,A
0202060179,11991127,A
0202060187,11020105,H
0202060187,11053054,A
0202060187,11991135,A
0202060187,17010055,H
0202060195,11053062,A
0202060195,11992069,A
0202060209,11992077,A
0202060217,11008105,H
0202060217,11052031,A
0202060217,11991143,A
0202060217,17020050,H
0202060225,11053070,A
0202060225,11991054,A
0202060225,17007054,H
0202060233,11052023,A
0202060233,17011051,H
0202060241,11003103,H
0202060241,11052058,A
0202060241,11991178,A
0202060250,11002107,H
0202060250,11053089,A
0202060250,11991232,A
0202060250,17018056,H
0202060268,11001100,H
0202060268,11052040,A
0202060268,11056037,A
0202060268,11991160,A
0202060276,11055049,A
0202060284,11992107,A
0202060292,11021101,H
0202060292,11054085,A
0202060292,11991186,A
0202060292,17015057,H
0202060306,11053097,A
0202060306,11991194,A
0202060306,17016053,H
0202060314,11004100,H
0202060314,11054093,A
0202060314,11992123,A
0202060322,11055065,A
0202060322,11992140,A
0202060330,11019107,H
0202060330,11054034,A
0202060330,11991208,A
0202060349,11007109,H
0202060349,11054115,A
0202060349,11991224,A
0202060349,17017050,H
0202060357,11991216,A
0202060365,11055090,A
0202060365,11992158,A
0202060373,11011106,H
0202060373,11052090,A
0202060373,11991240,A
0202060381,11053100,A
0202060390,11009101,H
0202060390,11052104,A
0202060390,11991259,A
0202060390,17001056,H
0202060403,11056053,A
0202060411,11056070,A
0202060420,11056045,A
0202060438,11056061,A
0202060446,11055081,A
0202060454,11056088,A
0202060462,11052066,A
0202060462,11053038,A
0202070018,11141026,A
0202070018,11171022,A
0202070026,11141042,A
0202070026,11172029,A
0202070034,11172037,A
0202070034,11172045,A
0202070042,11141069,A
0202070050,11016019,A
0202070069,11172010,A
0202070077,11016027,A
0202070085,11174013,A
0202070093,11016140,A
0202070093,17066042,H
0202070107,11016035,A
0202070115,11016043,A
0202070123,11016132,A
0202070123,11016213,A
0202070123,11142049,A
0202070123,17008042,H
0202070131,11016051,A
0202070131,11016086,A
0202070140,11173017,A
0202070158,11016060,A
0202070166,11043059,A
0202070174,11141107,A
0202070174,11173025,A
0202070182,11016078,A
0202070190,11173033,A
0202070190,17017041,H
0202070204,11016094,A
0202070204,11016108,A
0202070204,11991097,A
0202070204,11991100,A
0202070204,17030048,H
0202070212,11016116,A
0202070220,11016124,A
0202070239,11141140,A
0202070239,11172053,A
0202070247,11012153,A
0202070255,11016159,A
0202070255,17048044,H
0202070263,11141220,A
0202070271,11043210,A
0202070271,17021030,H
0202070280,11016167,A
0202070298,11016175,A
0202070301,11016191,A
0202070310,11171049,A
0202070328,11171057,A
0202070336,11016205,A
0202070344,11171030,A
0202070352,11173041,A
0202080013,11112190,A
0202080021,11113014,A
0202080021,17003016,H
0202080030,11113022,A
0202080030,17004012,H
0202080030,17005019,H
0202080048,11111020,A
0202080056,11111054,A
0202080064,11111038,A
0202080072,11111062,A
0202080072,11111178,A
0202080072,17007011,H
0202080080,11112018,A
0202080080,11112026,A
0202080080,17008018,H
0202080099,11112085,A
0202080102,11112131,A
0202080110,11112069,A
0202080110,17006015,H
0202080129,11113030,A
0202080129,17002010,H
0202080137,11061081,A
0202080137,11161027,A
0202080137,11161078,A
0202080137,11161086,A
0202080137,11161108,A
0202080137,11161116,A
0202080137,17011019,H
0202080145,11111089,A
0202080145,11111119,A
0202080145,11111186,A
0202080145,11161019,A
0202080145,11161035,A
0202080145,11161043,A
0202080145,11161060,A
0202080153,11113057,A
0202080153,11113065,A
0202080153,17010012,H
0202080161,11112093,A
0202080170,11112158,A
0202080188,11111011,A
0202080196,11112174,A
0202080200,11111194,A
0202080218,11112115,A
0202080226,11111070,A
0202080234,11111100,A
0202090019,11091053,A
0202090019,17005116,H
0202090027,11045019,A
0202090035,11113049,A
0202090043,11112123,A
0202090051,11101016,A
0202090051,17001080,H
0202090051,17001110,H
0202090060,11101024,A
0202090060,17003083,H
0202090078,11082011,A
0202090078,17004101,H
0202090086,11081031,A
0202090094,11021055,A
0202090108,11011181,A
0202090108,17003091,H
0202090116,11021063,A
0202090124,11091037,A
0202090124,17005116,H
0202090132,11091045,A
0202090132,17005116,H
0202090140,14002027,H
0202090140,17060044,H
0202090159,11102012,A
0202090167,11082020,A
0202090167,17003105,H
0202090175,11044039,A
0202090183,11091029,A
0202090183,17001102,H
0202090191,11045043,A
0202090191,17022037,H
0202090213,11022019,A
0202090213,17002095,H
0202090221,11021047,A
0202090230,11101105,A
0202090248,11081023,A
0202090256,11091010,A
0202090256,17002117,H
0202090264,11021080,A
0202090272,11091088,A
0202090272,17003113,H
0202090280,11021071,A
0202090299,11101032,A
0202090302,11091061,A
0202090310,11101059,A
0202090329,11091070,A
0202090329,11091096,A
0202090329,17004110,H
0202090337,11081015,A
0202090337,17002109,H
0202090345,11121017,A
0202090353,11121025,A
0202100014,11153016,A
0202100022,11152010,A
0202100030,11151013,A
0202110010,11211032,A
0202110028,11211040,A
0202110036,11211059,A
0202110044,11211016,A
0202110052,11201010,A
0202110060,11202017,A
0202110079,11203013,A
0202110087,11211024,A
0202120015,11045027,A
0202120015,17001030,H
0202120023,09027025,H
0202120023,11041030,A
0202120023,17014034,H
0202120031,11046040,A
0202120031,17013038,H
0202120040,11046023,A
0202120058,11046015,A
0202120066,11043032,A
0202120074,11043040,A
0202120082,11041013,A
0202120090,11043075,A
0202120104,11043024,A
0203010019,12011010,A
0203010027,12012025,A
0203010027,16006011,H
0203010035,12012041,A
0203010035,16005015,H
0203010043,12011045,A
0203020014,12014010,A
0203020022,12011070,A
0203020030,12011037,A
0203020030,12012017,A
0203020030,12013013,A
0203020030,16001010,H
0203020030,16002016,H
0203020030,16004019,H
0203020049,12014028,A
0203020057,16007018,H
0203020057,16008014,H
0203020065,12011053,A
0203020073,12011061,A
0203020081,12012033,A
0204010012,13104020,A
0204010012,21015120,H
0204010020,13054023,A
0204010039,13011049,A
0204010039,21006016,H
0204010047,13011014,A
0204010047,13011081,A
0204010047,21012016,H
0204010055,13013017,A
0204010055,21013012,H
0204010063,13012010,A
0204010063,13012029,A
0204010063,13061038,A
0204010063,21008019,H
0204010063,21014019,H
0204010063,21014060,H
0204010063,21015015,H
0204010071,13013033,A
0204010071,13013041,A
0204010071,21002010,H
0204010071,21003017,H
0204010080,13011022,A
0204010080,21001014,H
0204010098,13051016,A
0204010098,13101021,A
0204010098,21003122,H
0204010098,21013063,H
0204010101,13013050,A
0204010101,21004013,H
0204010110,13011030,A
0204010110,21010013,H
0204010128,13011057,A
0204010128,21011010,H
0204010136,13091018,A
0204010136,21006105,H
0204010144,13011065,A
0204010144,13012037,A
0204010144,21007012,H
0204010152,13011073,A
0204010152,21009015,H
0204010160,10101012,A
0204010160,21022011,H
0204010179,13014013,A
0204010179,21017018,H
0204010195,13104047,A
0204010195,21006121,H
0204010195,21017085,H
0204010209,10102019,A
0204010209,10102027,A
0204010209,21020019,H
0204020018,13111027,A
0204020018,97203009,H
0204020026,13025015,A
0204020034,13022016,A
0204020034,21002029,H
0204020042,13021010,A
0204020042,21001022,H
0204020050,13022024,A
0204020050,21003025,H
0204020069,13022040,A
0204020069,21005028,H
0204020077,13023020,A
0204020077,21005028,H
0204020085,13023039,A
0204020085,21007020,H
0204020093,13021028,A
0204020107,13021044,A
0204020107,13022032,A
0204020107,21004021,H
0204020115,13023012,A
0204020123,13021036,A
0204020123,21008027,H
0204020131,21009023,H
0204020131,21010021,H
0204030013,13101013,A
0204030013,21001120,H
0204030013,21013110,H
0204030021,13103016,A
0204030021,21005125,H
0204030021,21007101,H
0204030030,13092022,A
0204030048,13092014,A
0204030056,13053019,A
0204030056,21009066,H
0204030064,13052012,A
0204030064,21008060,H
0204030072,13031066,A
0204030072,21002037,H
0204030080,13061020,A
0204030080,21006083,H
0204030099,13031074,A
0204030099,21001030,H
0204030102,13052020,A
0204030102,21015066,H
0204030110,13102010,A
0204030110,21002126,H
0204030129,13051024,A
0204030129,21004064,H
0204030137,13053027,A
0204030137,21006067,H
0204030145,13053035,A
0204030145,21007063,H
0204030153,13052039,A
0204030153,21005060,H
0204030161,13051067,A
0204030170,13051032,A
0204030170,21003068,H
0204040019,13032011,A
0204040019,21009031,H
0204040027,13031015,A
0204040027,21005036,H
0204040035,13031023,A
0204040035,21006032,H
0204040043,13031031,A
0204040043,21001030,H
0204040051,13031040,A
0204040051,21007039,H
0204040060,13031058,A
0204040060,21003033,H
0204040078,13032020,A
0204040078,21008035,H
0204040086,13032062,A
0204040086,21011036,H
0204040086,21013039,H
0204040094,13032038,A
0204040108,13032046,A
0204040108,21012032,H
0204040116,13031082,A
0204040116,21004030,H
0204040124,13032054,A
0204050014,13063014,A
0204050014,21010080,H
0204050014,21016089,H
0204050022,13062026,A
0204050022,21001081,H
0204050030,13062018,A
0204050030,21002088,H
0204050049,13063022,A
0204050049,21011087,H
0204050057,13104039,A
0204050057,21012121,H
0204050065,13105035,A
0204050065,21022119,H
0204050073,33011230,A
0204050081,13073010,A
0204050081,21002096,H
0204050081,21029113,H
0204050090,21010099,H
0204050103,13071025,A
0204050103,21006091,H
0204050111,13082019,A
0204050111,21002100,H
0204050111,21012091,H
0204050111,21039119,H
0204050120,13083015,A
0204050120,21003106,H
0204050138,13081012,A
0204050138,21001103,H
0204050146,13063030,A
0204050146,13063049,A
0204050146,21007080,H
0204050146,21015082,H
0204050154,13063065,A
0204050154,21009082,H
0204050154,21013080,H
0204050162,13063057,A
0204050170,13073028,A
0204050170,21003092,H
0204050170,21043116,H
0204050170,21044112,H
0204050189,13071033,A
0204050189,13072013,A
0204050189,13072021,A
0204050189,13072030,A
0204050189,21001090,H
0204050189,21004099,H
0204050189,21005095,H
0204050189,21011095,H
0204060010,13105019,A
0204060010,21010129,H
0204060028,13092057,A
0204060028,32051042,A
0204060036,13041053,A
0204060036,21012040,H
0204060044,13092030,A
0204060052,13092049,A
0204060060,13041010,A
0204060060,21004048,H
0204060079,13041029,A
0204060079,21003041,H
0204060087,13042017,A
0204060087,21009040,H
0204060095,13041037,A
0204060095,21001049,H
0204060109,13042025,A
0204060109,21011044,H
0204060117,13041045,A
0204060117,21005044,H
0204060125,13042033,A
0204060125,21006040,H
0204060133,13042041,A
0204060133,21007047,H
0204060141,13043013,A
0204060150,13042068,A
0204060150,21010048,H
0204060168,13041061,A
0204060168,21008043,H
0204060176,13042050,A
0205010016,14015021,A
0205010016,97028002,H
0205010024,14015030,A
0205010024,97029009,H
0205010024,97030007,H
0205010032,04016017,H
0205010032,14015013,A
0205010032,21011133,H
0205010032,21012130,H
0205010032,97027006,H
0205010040,03007014,H
0205010040,14019027,A
0205010040,14019035,A
0205010040,14019043,A
0205010040,14019051,A
0205010040,14019078,A
0205010040,14019086,A
0205010040,14019094,A
0205010040,97026000,H
0205010059,14019060,A
0205020011,97043001,H
0205020020,17072034,A
0205020038,14019108,A
0205020038,21003130,H
0205020038,21004137,H
0205020038,21005133,H
0205020046,14018012,A
0205020046,21006130,H
0205020046,21016135,H
0205020054,14014050,A
0205020054,21014132,H
0205020062,14019019,A
0205020070,14014017,A
0205020070,21009139,H
0205020089,14013029,A
0205020089,14020017,H
0205020089,14021013,H
0205020089,21015139,H
0205020097,14014025,A
0205020100,14014033,A
0205020119,14019124,A
0205020119,21017131,H
0205020127,14014041,A
0205020127,21008132,H
0205020135,14019132,A
0205020135,21013136,H
0205020143,14012014,A
0205020143,21002134,H
0205020151,14019116,A
0205020160,14011018,A
0205020160,21001138,H
0205020178,14013010,A
0205020178,21010137,H
0205020186,14012022,A
0205020194,14012030,A
0206010010,21012024,H
0206010010,35011017,A
0206010028,35011017,A
0206010028,97013013,H
0206010028,97013021,H
0206010028,97224006,H
0206010036,35011017,A
0206010036,97013013,H
0206010036,97224006,H
0206010044,21005010,H
0206010044,21025010,H
0206010044,35014032,A
0206010044,35014040,A
0206010052,35014067,A
0206010060,21023018,H
0206010060,21024014,H
0206010060,21026017,H
0206010060,35011025,A
0206010060,97013013,H
0206010060,97013021,H
0206010060,97220000,H
0206010079,21023018,H
0206010079,21024014,H
0206010079,21026017,H
0206010079,35011025,A
0206010079,97013013,H
0206010079,97013021,H
0206010079,97220000,H
0206010087,35014083,A
0206020015,35014105,A
0206020015,35014113,A
0206020015,35014121,A
0206020015,35014130,A
0206020023,35014075,A
0206020031,21012067,H
